(1, 419-988-2115, 45.85029, France, Thiers, 63304 CEDEX)
(438, 564-591-0127, 52.08234, Netherlands, Utrecht (stad), 3502)
(439, 934-136-7080, 40.1208803, Portugal, Aldeia do Bispo, 6090-075)
(440, 638-754-2858, 38.5633826, Portugal, Padre Nabeto, 2950-107)
(441, 398-240-8169, 49.6560847, Czech Republic, Nýdek, 739 95)
(442, 516-666-1517, 14.6921469, Philippines, Bukid, 7119)
(443, 599-818-8211, 16.9334683, Philippines, Balas, 6207)
(444, 109-251-6194, 38.9188879, Portugal, Alcainça, 2640-705)
(445, 667-866-0585, 35.621965, China, Xiadian, )
(446, 114-636-7957, 24.0993658, Bangladesh, Mirzāpur, 1945)
(447, , 56.1908828, , , 375 32)
(448, 509-577-1000, 42.854367, Russia, Kafyr-Kumukh, 368216)
(449, 569-921-4647, 59.6132041, Sweden, Hallstahammar, 734 91)
(450, 212-495-3934, 58.4592933, Sweden, Munkedal, 455 31)
(451, 211-698-6113, 54.0852394, Isle of Man, Port Erin, IM9)
(452, 973-416-8736, 8.3102946, Panama, Cañazas, )
(453, 376-104-9503, -6.6727682, Indonesia, Cirompang, )
(454, 923-237-8070, -1.553873, Ecuador, Vinces, )
(455, 595-374-3655, 41.0911538, Armenia, Alaverdi, )
(456, 194-858-4252, -25.50065, South Africa, Nelspruit, 1360)
(457, 864-381-0005, 31.59998, China, Xiaohenglong, )
(458, 915-339-3239, 31.7566264, United States, El Paso, 79940)
(459, 215-132-3508, 58.3227586, Russia, Manturovo, 157305)
(460, 707-320-0063, 1.2730471, Indonesia, Sonder, )
(461, 312-275-5460, 54.789029, Russia, Solotcha, 391133)
(462, 312-783-5921, 8.9909734, Chad, Benoy, )
(463, 249-443-5511, 16.08532, Philippines, Paitan Este, 3315)
(464, 909-837-7790, 45.3306087, Croatia, Vidovci, 34000)
(465, 578-662-6799, -7.4301, Indonesia, Sarimukti Kaler, )
(466, 571-457-3117, 34.470812, China, Lüjiabao, )
(467, 891-189-3768, 38.6226736, Greece, Malesína, )
(468, 998-528-6191, 40.076762, China, Darong, )
(469, 759-769-6770, 13.9253961, Thailand, Bang Bua Thong, 11110)
(470, 273-571-9567, 51.5615169, Poland, Psary, 42-580)
(471, 646-886-6821, 40.7525629, United States, New York City, 10170)
(472, 594-606-8835, , China, Zhijiang, )
(473, 921-774-4244, 42.0040445, Macedonia, Извор, 1325)
(474, 688-586-3339, 53.2254858, Russia, Chemodanovka, 442965)
(475, 874-840-2457, -8.1370235, Indonesia, Panjerrejo, )
(476, 625-122-9966, 48.1392924, France, Rennes, 35203 CEDEX 2)
(477, 904-864-2949, 50.7734719, Poland, Blachownia, 42-293)
(478, 690-667-0573, 42.048319, Portugal, Breia, 4950-284)
(479, 930-717-0568, -34.905408, Uruguay, Maldonado, )
(480, 824-701-6315, 14.0206423, Philippines, Siruma, 4427)
(481, 487-746-8621, 26.647661, China, Gyigang, )
(482, 233-732-3816, 37.6364006, Portugal, Santa Bárbara de Padrões, 7780-460)
(483, 825-847-7608, -31.4397154, Argentina, Ancasti, 4701)
(484, 599-989-9926, -33.4488897, Chile, Santiago, )
(485, 724-797-1649, -6.4331238, Indonesia, Panggulan, )
(486, 762-428-6924, 51.4798767, Poland, Grabica, 97-306)
(487, 908-964-2184, 7.6128972, Venezuela, Caicara, )
(488, 585-881-7362, 49.5872019, Luxembourg, Itzig, L-5978)
(489, 469-780-5378, 13.9317086, Thailand, Tha Maka, 71120)
(490, 352-699-7997, 27.141681, China, Dafang, )
(491, 227-398-0148, 8.8525279, Nigeria, Lafiagi, )
(492, 677-578-0236, 18.9753413, Mexico, El Calvario, 75200)
(493, 641-551-4474, 49.4991381, Canada, Penticton, V2A)
(494, 412-898-5280, 40.4888987, United States, Pittsburgh, 15240)
(495, 909-344-8816, 29.2083348, Pakistan, Fort Abbās, 62021)
(496, 316-827-0592, 22.843818, China, Qingxi, )
(497, 945-149-0681, 51.5258667, Russia, Kuvandyk, 462244)
(498, 379-237-0219, 24.803563, China, Chiguang, )
(499, 588-728-9910, -20.9969938, Bolivia, Camatindi, )
(500, 993-766-6337, 28.924679, China, Gaohu, )
(501, 940-183-0326, 54.3777115, Russia, Ordynskoye, 633260)
(502, 245-514-4387, -7.6411786, Indonesia, Sukoreno, )
(503, 733-994-4629, 24.705643, China, Shuitou, )
(504, 406-193-9503, 35.7819637, Syria, Khanāşir, )
(505, 727-195-9505, 27.791959, United States, Saint Petersburg, 33710)
(506, 590-646-7384, -20.4059505, Mauritius, Mahébourg, )
(507, 952-128-9599, 21.430823, China, Wangcungang, )
(508, 540-934-3483, 39.7298157, Portugal, Rosmaninhal, 6060-414)
(509, 800-351-7573, 49.7871182, Poland, Dębowiec, 43-426)
(510, 518-410-2782, -8.2197304, Brazil, Custódia, 56640-000)
(511, 444-658-1454, 46.65684, China, Haramgai, )
(512, 158-419-2530, 31.2324264, Mexico, Santa Cruz, 40070)
(513, 102-744-4157, 61.2427595, Sweden, Kilafors, 823 80)
(514, 105-708-4025, 38.5434693, Portugal, Pinhal General, 2865-193)
(515, 252-223-7552, 5.1964397, Colombia, Pacho, 254008)
(516, 642-611-6871, 51.4063964, United Kingdom, Bristol, BS41)
(517, , 35.4318343, , , 73129)
(518, 672-722-3249, 19.4137276, Mexico, Independencia, 60070)
(519, 364-432-0331, 11.3882479, Nigeria, Giade, )
(520, 296-881-2101, 43.5414515, Spain, Aviles, 33404)
(521, 924-420-1042, 32.2951394, Pakistan, Shāhpur, 47261)
(522, 285-523-9772, 41.43999, Macedonia, Sekirnik, 2435)
(523, 367-271-4539, -8.1448805, Peru, Buenos Aires, )
(524, 346-599-0621, -3.4763823, Ecuador, Huaquillas, )
(525, 704-727-7011, 60.3882249, Norway, Bergen, 5007)
(526, 911-909-2293, -6.8950276, Indonesia, Nanger, )
(527, 368-682-3180, -6.3413734, Indonesia, Cibunar, )
(528, 976-934-2018, 51.5775677, Poland, Jemielno, 56-209)
(529, 116-832-8756, 48.830394, France, Boulogne-Billancourt, 92645 CEDEX)
(530, 413-992-1867, 39.9947462, China, Xijiao, )
(531, 799-839-4538, 49.0096906, France, Roissy Charles-de-Gaulle, 95933 CEDEX 2)
(532, 560-400-2054, 43.42993, China, Xianyuan, )
(533, 991-931-1858, 56.1114024, Russia, Zelenogorsk, 663694)
(534, 268-723-7384, 49.2712859, Mongolia, Bayan Uula Sumu, )
(535, 134-298-8767, -5.6353028, Brazil, Ceará Mirim, 59570-000)
(536, 354-726-9104, 22.0293, China, Dengyue, )
(537, 138-596-2681, 24.7135517, Saudi Arabia, Riyadh, )
(538, 846-200-2053, 17.7308177, Thailand, Uttaradit, 71120)
(539, 635-422-1264, 56.5930499, Latvia, Aizkraukle, )
(540, 258-568-1415, 55.73325, Russia, Nikolina Gora, 143031)
(541, 225-733-8050, -7.196982, Indonesia, Ciemas, )
(542, 392-590-8760, 5.4238154, Colombia, Riosucio, 178057)
(543, 603-487-7389, 10.8, Philippines, Balibagan Oeste, 5001)
(544, 791-465-4430, 7.3766609, Philippines, Vitali, 7028)
(545, 211-523-8315, -15.24014, Peru, Rosaspata, )
(546, 775-287-1118, 30.7292723, Egypt, Fāqūs, )
(547, 931-303-8356, 29.52744, China, Weiyuan, )
(548, 407-382-3099, 48.1164447, France, Rennes, 35022 CEDEX 2)
(549, 641-775-5444, 27.0874564, China, Jiangti, )
(550, 799-931-9653, 24.094765, China, Daping, )
(551, 536-749-4127, 23.15998, China, Yantang, )
(552, 533-879-7239, 20.5849821, Cuba, Urbano Noris, )
(553, 800-967-9226, -7.3363345, Indonesia, Sambirata, )
(554, 890-296-5834, -6.8950276, Indonesia, Nanger, )
(555, 339-789-0891, -4.4008685, Brazil, Jutaí, 69660-000)
(556, 228-627-5467, 15.2113128, Philippines, Pan-an, 7202)
(557, 666-562-9369, 57.7314074, Sweden, Göteborg, 403 20)
(558, 183-878-9984, 51.6406279, Poland, Sieniawa Żarska, 00-018)
(559, 632-981-6665, 29.584292, China, Shimen, )
(560, 276-450-4148, 42.9203458, Serbia, Lebane, )
(561, 200-213-7983, 45.7451347, France, Lyon, 69286 CEDEX 02)
(562, 404-660-5828, -7.3384839, Indonesia, Bantarmangu, )
(563, 637-192-9297, 40.2466889, Portugal, Tortosendo, 6200-723)
(564, 570-442-9132, 41.2164036, United States, Wilkes Barre, 18706)
(565, 963-370-9700, 59.6535297, Sweden, Vallentuna, 186 96)
(566, 829-318-1947, 50.3919, Ukraine, Vyshneve, )
(567, 479-826-4787, -2.9252, Indonesia, Rantepang, )
(568, 582-644-6267, 6.6888595, Guyana, Mahaica Village, )
(569, 290-368-6183, 26.422277, China, Leiyang, )
(570, 729-828-2822, 23.528764, China, Laohugang, )
(571, 364-182-7667, 52.32659, Poland, Kleszczewo, 63-005)
(572, 196-422-7363, 39.3300893, Portugal, Reinaldes, 2525-675)
(573, 421-507-3805, 48.9318625, France, Aulnay-sous-Bois, 93604 CEDEX)
(574, 282-297-0756, -20.895689, Reunion, Saint-Denis, 97404 CEDEX)
(575, 558-146-5508, 38.1265094, Japan, Aioi, 999-3222)
(576, 249-353-5166, 30.402167, China, Qianjiang, )
(577, 192-757-5477, 28.922003, China, Canmang, )
(578, 845-854-7719, -7.9841814, Indonesia, Jambesari, )
(579, 953-534-6357, 8.7550575, Sierra Leone, Peyima, )
(580, 655-142-8385, 27.087637, China, Ji’an, )
(581, 622-163-0384, -8.0972402, Indonesia, Dodol, )
(582, 651-941-0874, 50.7798051, Poland, Kowary, 58-530)
(583, 327-216-6582, 39.7589933, Greece, Týrnavos, )
(584, 368-862-6015, 15.113515, Guatemala, Gualán, 19004)
(585, 913-251-2353, -6.90572, Indonesia, Sidamulya Satu, )
(586, 274-652-7475, 50.994689, United Kingdom, Weston, GU32)
(587, 542-448-1073, 7.8023204, Nigeria, Lokoja, )
(588, 321-683-5522, 29.330041, China, Xinye, )
(589, 361-931-0303, -7.4797342, Indonesia, Majennang, )
(590, 796-560-8412, 2.481207, Colombia, Popayán, 190018)
(591, 573-805-3716, 51.6205979, Poland, Ostrów Wielkopolski, 63-417)
(592, 898-760-9046, 40.7165064, Greece, Ágios Athanásios, )
(593, 761-751-0751, 41.21966, China, Honghualiangzi, )
(594, 364-561-7676, 29.866911, China, Chengui, )
(595, 144-212-7083, 50.1597603, Czech Republic, Dolní Rychnov, 356 04)
(596, 693-268-0602, 35.989043, South Korea, Waegwan, )
(597, 436-116-7129, 27.7537155, Pakistan, Naudero, 77381)
(598, 622-934-3464, 47.251733, Ukraine, Verkhniy Rohachyk, )
(599, 797-394-5088, 30.532847, China, Suining, )
(600, , -7.5450262, , , )
(601, 720-345-4327, 38.0244455, Japan, Takayama, 999-0141)
(602, 848-140-8836, 55.2067999, Russia, Kashirskoye, 396350)
(603, 887-626-7845, 19.8838774, China, Longtang, )
(604, 235-824-8010, 37.9381943, North Korea, Kaesŏng, )
(605, 443-115-5559, 42.9314238, Georgia, Gulrip’shi, )
(606, 874-629-5662, 17.9567646, Mexico, Lazaro Cardenas, 92015)
(607, 349-601-9413, -1.5117336, Indonesia, Sungaibengkal, )
(608, 180-509-3414, 35.683952, China, Yinyang, )
(609, 807-514-0563, 53.0358086, Belarus, Svislach, )
(610, 528-154-2174, 14.7512576, Philippines, Bigaa, 3016)
(611, 144-360-2149, 12.3772165, Nicaragua, San Lorenzo, )
(612, 709-672-4251, 34.0078256, Pakistan, Amangarh, 24181)
(613, 165-689-7924, 23.297493, China, Puning, )
(614, 544-570-7460, -8.2103859, Indonesia, Semboropasar, )
(615, 861-698-9776, -4.6488523, Seychelles, Port Glaud, )
(616, 902-808-6062, 49.6285187, Mongolia, Baruunturuun, )
(617, 400-558-3666, 28.663694, China, Hecun, )
(618, 927-884-8278, 32.8796692, Iran, Shāhīn Shahr, )
(619, 960-490-4954, 15.9658063, Philippines, Patayac, 2419)
(620, 210-713-9543, 46.409427, China, Qingkenpao, )
(621, , -16.9058836, , , )
(622, 417-633-3549, 43.363668, China, Dabancheng, )
(623, 403-362-9663, 31.558356, China, Langzhong, )
(624, 225-539-2858, -9.5261154, Peru, Huaraz, )
(625, 979-296-1134, 39.6920939, Portugal, Portelinha, 4630-526)
(626, 261-971-0555, 9.9785656, Venezuela, Quiriquire, )
(627, 108-317-3336, 11.893334, Vietnam, Cam Ranh, )
(628, 955-574-1471, -8.557437, Indonesia, Sumberagung, )
(629, 463-708-3745, 51.65991, Russia, Soloneshnoye, 659690)
(630, 323-647-6512, -6.2306088, Peru, Lonya Chico, )
(631, 722-745-7956, -27.582369, Argentina, Villa Ángela, 3540)
(632, 844-661-4032, 34.2579981, China, Xidajie, )
(633, 547-454-8234, -14.3519929, American Samoa, Vaitogi, 96799)
(634, 857-559-3890, 12.6234721, Nicaragua, Chinandega, )
(635, 509-746-9614, 12.1224221, Curacao, Willemstad, )
(636, 497-195-5433, 45.2710602, Croatia, Negoslavci, 32239)
(637, 231-222-3105, 37.6703123, Japan, Ishikawa, 960-1476)
(638, 721-224-9082, 43.677427, Croatia, Brnaze, 21230)
(639, 597-247-9559, -8.6135235, Indonesia, Banjar Gunungpande, )
(640, , 14.4967483, , , 3120)
(641, 669-201-9789, 50.3713333, Russia, Zakamensk, 671950)
(642, 141-480-2617, 33.754058, China, Wangqu, )
(643, 815-222-6851, -3.446207, Burundi, Ruyigi, )
(644, 433-939-3661, 49.71671, Canada, Fort Macleod, V6S)
(645, 628-388-5306, -21.2001343, Botswana, Mopipi, )
(646, 156-550-5539, -12.417342, Brazil, Conceição do Jacuípe, 44245-000)
(647, 403-690-2004, 29.8637597, China, Linshe, )
(648, 740-972-2150, 48.6514469, Czech Republic, Dolní Dvořiště, 382 72)
(649, , -7.870292, , , )
(650, 684-220-6960, 47.1594836, Hungary, Szolnok, 5009)
(651, 282-158-4274, -37.8060734, Chile, Angol, )
(652, 626-755-6987, 34.143068, United States, Pasadena, 91131)
(653, , 25.0493618, , , )
(654, 582-259-3372, 14.5975238, Guatemala, El Asintal, 11009)
(655, 973-548-9659, 40.9234909, United States, Paterson, 07522)
(656, 901-879-9724, -7.0888, Indonesia, Sumberngerjat, )
(657, 783-660-4015, -21.2001343, Botswana, Mopipi, )
(658, 183-182-6752, -9.5587797, Indonesia, Seoam, )
(659, 456-582-9389, 24.546876, China, Fengshan, )
(660, 531-638-1281, 34.2423088, Afghanistan, Bāsawul, )
(661, 333-317-0381, 53.42049, Poland, Jastrowie, 64-915)
(662, 188-650-7270, -3.8932818, Brazil, Eusébio, 61760-000)
(663, 984-135-5008, 50.1242949, Poland, Zabierzów, 32-080)
(664, 503-256-9282, 45.5593978, United States, Portland, 97229)
(665, 139-573-6245, 29.287939, China, Ninghai, )
(666, , -9.6996, , , )
(667, 312-719-6711, 34.5259004, United States, Chicago, 60663)
(668, 697-668-2877, 37.045911, China, Lingbei, )
(669, 174-383-5619, -38.956431, Argentina, Plottier, 8316)
(670, 800-632-6898, 7.9929954, Sierra Leone, Segbwema, )
(671, 919-929-0729, 51.9696042, Poland, Uniejów, 99-210)
(672, 573-899-0693, , Philippines, Gueset, 2436)
(673, 419-620-0182, 49.6106567, Czech Republic, Návsí u Jablunkova, 739 97)
(674, , 38.2911575, , , 03203)
(675, 589-150-6546, 16.1867243, Philippines, Maputi, 9024)
(676, 758-492-2035, 34.540852, China, Baiyang, )
(677, 668-347-9050, 28.512467, China, Mazongling, )
(678, 583-851-5786, -18.3181877, Madagascar, Ankazobe, )
(679, 993-130-5275, 52.9152117, Poland, Narew, 17-210)
(680, , -12.0271668, , , )
(681, 237-754-6793, 27.123078, China, Hezhang, )
(682, 288-641-4374, -12.09985, Peru, Arma, )
(683, , 15.3843415, , , )
(684, 329-806-4398, -12.3713805, Brazil, Catu, 48110-000)
(685, 979-789-6918, 35.8939566, China, Shentong, )
(686, 299-129-5549, 32.448742, China, Minggang, )
(687, 320-482-4182, 22.78691, China, Simao, )
(688, 608-244-0447, -7.3863388, Indonesia, Cibeuti, )
(689, 962-414-5527, 32.169335, China, Xiashu, )
(690, 726-728-8547, 37.2425649, China, Shanxi, )
(691, 693-349-3437, -29.5904737, Brazil, São Sebastião do Caí, 95760-000)
(692, , -8.637081, , , )
(693, 549-103-0221, 49.7058855, Luxembourg, Biwer, L-6834)
(694, 303-635-6920, 60.910493, Greenland, Narsaq, 3921)
(695, 658-871-0083, 9.1707145, Panama, Cusapín, )
(696, 475-353-7476, -3.6964444, Indonesia, Bunga Mas, )
(697, 324-201-1841, 5.4827405, Colombia, Tunja, 150009)
(698, 718-793-0878, 40.5944059, United States, Staten Island, 10305)
(699, 518-415-6162, 53.9672519, Poland, Kamień Pomorski, 72-400)
(700, 286-468-7269, 31.23285, China, Changzheng, )
(701, 753-114-4301, 13.4793694, Honduras, Orocuina, )
(702, 151-746-2522, , Falkland Islands, Stanley, )
(703, 791-832-5898, 37.444498, China, Lincheng, )
(704, 216-314-0844, 39.886547, China, Dachang, )
(705, 801-383-4417, 22.0952234, Bangladesh, Sarankhola, 9330)
(706, 270-431-6617, 5.8330136, Colombia, Floresta, 150607)
(707, 604-470-9831, -9.5715752, Brazil, Satuba, 57120-000)
(708, 516-121-2419, 40.77, United States, Hicksville, 11854)
(709, 903-612-1264, 8.7550575, Sierra Leone, Peyima, )
(710, 955-918-0554, 34.662234, China, Yanliang, )
(711, 468-340-6777, 49.7243072, Czech Republic, Vejprnice, 330 27)
(712, 339-690-8295, 31.270415, China, Dagsar, )
(713, 136-896-2144, -6.8864, Indonesia, Kaliprak, )
(714, 165-134-8422, -7.04383, Indonesia, Ciguha Tengah, )
(715, 250-532-1604, 39.982718, China, Sanhe, )
(716, 800-356-5154, 30.190334, China, Dongji, )
(717, 386-546-1071, 29.084946, United States, Daytona Beach, 32128)
(718, 785-825-5858, 11.992373, Philippines, Busuanga, 5317)
(719, 736-528-6180, 55.9763451, Russia, Povedniki, 172026)
(720, 718-277-2825, 38.119756, Greece, Drosiá, )
(721, 459-183-8785, 50.78342, Canada, Bassano, M5G)
(722, 387-393-6241, 40.980653, China, Gengzhuang, )
(723, 312-644-1922, 24.874132, China, Qianzhou, )
(724, 688-840-3861, 27.6616992, China, Yahe, )
(725, 273-519-9407, -6.7751995, Indonesia, Bogorame, )
(726, 975-381-9432, , Bosnia and Herzegovina, Todorovo, )
(727, 520-904-5588, 16.7136708, Thailand, Nong Kung Si, 46220)
(728, 204-125-2650, -23.5390859, Portugal, Pinheiral, 4625-253)
(729, 202-981-1928, 38.889471, United States, Washington, 20566)
(730, 807-205-6226, 45.5701534, Serbia, Vrbas, )
(731, 664-819-0179, 31.1853497, Jordan, Karak City, )
(732, 356-681-2612, 31.132093, Egypt, Arish, )
(733, 109-223-7945, 32.897014, China, Hanyin Chengguanzhen, )
(734, 295-428-7447, -7.1665502, Indonesia, Sumuragung, )
(735, 774-268-0409, 15.8564553, Philippines, Nalsian Norte, 2424)
(736, 919-394-5793, 35.8054733, United States, Raleigh, 27635)
(737, 572-768-4096, 53.4154689, Russia, Gon’ba, 656903)
(738, 860-239-9254, 4.6101062, Brunei, Seria, )
(739, 572-451-8476, 7.6738728, Philippines, Don Carlos, 8712)
(740, 795-803-5487, 21.027964, Vietnam, Hoàn Kiếm, )
(741, 397-859-8371, 17.1820718, Cape Verde, Ribeira Grande, )
(742, 526-961-2462, 30.792629, Egypt, Kafr Şaqr, )
(743, 753-200-8753, 42.891255, China, Yajin, )
(744, 207-167-1644, -7.5511508, Indonesia, Krajandadapmulyo, )
(745, 313-508-8394, 6.9832415, Benin, Pobé, )
(746, , 48.5372073, , , 67124 CEDEX)
(747, 295-662-0088, 13.4712468, Thailand, Phan Thong, 20160)
(748, 714-944-3469, -23.2980974, Brazil, Santo Antônio da Platina, 86430-000)
(749, 883-924-2644, 51.5615169, Poland, Psary, 42-580)
(750, 831-584-8312, -9.367769, Brazil, Cajueiro, 57770-000)
(751, 513-796-6784, 24.9936281, China, Taoyuan, )
(752, 570-273-0948, , Russia, Kizhinga, 671450)
(753, 770-234-8780, -5.725856, Tanzania, Nungwi, )
(754, 125-345-9708, -39.7466346, New Zealand, Patea, 4545)
(755, 646-157-2883, 46.344514, China, Yinglan, )
(756, 884-774-1367, 34.9406968, South Korea, Gwangtan, )
(757, 424-439-8829, 34.052996, United States, Los Angeles, 90071)
(758, 548-616-1004, -6.4456338, Tanzania, Bagamoyo, )
(759, 486-365-9715, 41.0919871, Portugal, Sé, 5100-121)
(760, 159-180-2521, -9.906, Indonesia, Oefau, )
(761, 858-518-1299, 45.8404226, Russia, Pereyaslovskaya, 352762)
(762, 177-992-4287, 46.08341, Canada, Belfast, L6S)
(763, 970-334-8339, 58.7500889, Sweden, Nyköping, 611 24)
(764, 861-135-2554, -26.4743278, Brazil, Guaramirim, 89270-000)
(765, 132-312-3096, 16.7665887, Mali, Timbuktu, )
(766, 996-428-5476, 23.492372, China, Jiuhe, )
(767, 349-284-9642, 46.0675028, Russia, Lesnoy, 431107)
(768, 357-221-5943, 43.7477413, Russia, Vardane, 678030)
(769, 991-469-0436, 39.4900417, Uzbekistan, Qorovulbozor, )
(770, 677-666-9636, 42.615891, China, Aguitu, )
(771, 397-655-2380, -21.5957703, Brazil, São José do Rio Pardo, 13720-000)
(772, 941-977-1041, , Brazil, Apucarana, 86800-000)
(773, 268-899-5281, 26.641315, China, Baisha, )
(774, 777-405-5739, -3.971033, Brazil, Piracuruca, 64240-000)
(775, 874-797-3949, -26.2886266, South Africa, Dundee, 3081)
(776, 998-987-4236, 46.344514, China, Yinglan, )
(777, 305-715-2221, 22.948016, China, Shiziqiao, )
(778, , 38.036815, , , )
(779, 375-837-2571, 41.6183527, Kazakhstan, Shardara, )
(780, 773-387-6422, 37.7816743, Japan, Kashiwazaki, 976-0034)
(781, 275-324-3451, 55.6764108, Denmark, København, 1058)
(782, 603-641-5393, 23.7077947, Taiwan, Douliu, )
(783, 584-917-2646, 55.56047, Russia, Shikhazany, 429315)
(784, 517-164-1954, 11.1506898, Vietnam, Chợ Lầu, )
(785, 448-976-4395, 4.0786306, Cameroon, Tiko, )
(786, 898-724-0785, 43.3209022, Serbia, Niš, )
(787, 614-386-0071, 39.75, Greece, Ágios Geórgios, )
(788, 339-688-9884, 35.70915, Tunisia, Al Wardānīn, )
(789, 234-125-8786, 42.0876245, Portugal, Pinheiro, 4960-254)
(790, 413-541-7531, 12.4680818, Thailand, Laem Sing, 22130)
(791, 249-426-0603, 31.236833, China, Dongfeng, )
(792, 620-954-5087, -10.2167, Indonesia, Oibioin, )
(793, 712-609-5895, 55.9522407, Lithuania, Rokiškis, 42001)
(794, 390-295-8172, 59.4225, Russia, Kobrinskoye, 188355)
(795, 274-506-4424, -8.237963, Indonesia, Sumberkertokrajan, )
(796, 927-482-2580, 56.0161995, Russia, Lyskovo, 606232)
(797, 793-590-4831, 53.6115, Poland, Biała Piska, 12-230)
(798, 762-208-0404, 43.572786, Bulgaria, Dobrich, 9337)
(799, , 12.6679167, , , 6511)
(800, 366-313-6532, 51.3605659, Mongolia, Tsagaannuur, )
(801, 993-433-5012, 45.635251, China, Liaodian, )
(802, 679-161-0199, 16.71169, Yemen, Al Maḩjal, )
(803, 113-965-7263, -8.4005782, Indonesia, Tempurejo, )
(804, 591-953-2007, 10.1834676, Philippines, Langtad, 2425)
(805, 855-892-1397, 10.9578957, Burkina Faso, Diébougou, )
(806, 362-338-4106, 40.5895257, Azerbaijan, Yelenendorf, )
(807, 566-389-7134, 52.6884746, Poland, Dobre, 88-210)
(808, 604-157-3235, 13.2409585, Philippines, Libog, 3905)
(809, 770-345-1517, 33.9419512, Japan, Ikedachō, 779-5166)
(810, 997-905-7319, 29.4315861, China, Tongqing, )
(811, 481-291-7834, 49.6747467, Poland, Zmiennica, 36-212)
(812, 170-762-4651, 53.6911177, Russia, Dubrovka, 242750)
(813, 419-926-0704, 52.018944, Russia, Dalakovo, 386122)
(814, 709-102-7686, 24.3635886, Bangladesh, Rājshāhi, 6100)
(815, 301-420-2568, 59.4411274, Russia, Siverskiy, 188355)
(816, 255-229-6348, 43.7931514, Bulgaria, Topolovgrad, 8772)
(817, 732-663-0191, 35.657584, China, Maogou, )
(818, 698-132-5169, -9.6498487, Brazil, Maceió, 57000-000)
(819, 323-984-2349, 34.1672881, United States, Pasadena, 91103)
(820, 569-704-1419, 8.0462732, Nigeria, Oyan, )
(821, 148-393-7655, 50.9996233, Ukraine, Berezne, )
(822, 158-959-5977, 53.84455, Poland, Czarna Woda, 83-262)
(823, 923-414-3226, 29.718419, China, Xinglongchang, )
(824, 126-444-4212, 49.090211, Czech Republic, Rajhrad, 664 61)
(825, 682-552-2782, 32.7011609, United States, Fort Worth, 76110)
(826, 296-549-6461, 60.3448681, Sweden, Tierp, 815 36)
(827, 382-780-3811, 51.5646744, Ukraine, Berezna, )
(828, 567-713-0363, , China, Mawu, )
(829, 363-932-1917, 40.834681, China, Xinghe Chengguanzhen, )
(830, 370-412-6244, 9.9165452, Costa Rica, San José, 40602)
(831, 257-197-1428, 48.071593, China, Wu’erbu Baolige, )
(832, 559-517-7835, 39.360247, China, Laiyuan, )
(833, 849-691-7017, 11.4720137, Somalia, Qandala, )
(834, 485-448-9327, 47.8840341, Ukraine, Slobidka, )
(835, 396-868-7279, -6.8013457, Indonesia, Rukem, )
(836, 183-812-7098, -10.8050342, Peru, Caujul, )
(837, 430-490-8653, 14.5792342, Philippines, Union, 5609)
(838, 402-710-0075, 40.8247318, United States, Lincoln, 68505)
(839, 766-725-2843, 25.112046, China, Baitashan, )
(840, 780-758-3521, 39.0063718, China, Xingong, )
(841, 573-489-7128, 39.886025, Greece, Kalpáki, )
(842, , -7.221562, , , )
(843, 493-423-5669, 14.6462828, Thailand, Si Prachan, 72140)
(844, 678-730-9839, 35.6196262, Morocco, Martil, )
(845, 858-108-2352, -4.8919744, Indonesia, Nambak Tengah, )
(846, 904-670-8836, 36.36257, China, Jiaobei, )
(847, 586-610-0340, 47.731164, China, Kalaxilike, )
(848, 523-171-2140, 60.1941783, Finland, Sibbo, 61110)
(849, 700-865-2869, 58.1951391, Russia, Nizhneivkino, 612091)
(850, 950-955-6147, 59.8346001, Norway, Asker, 1384)
(851, 868-151-2191, 48.3611707, Moldova, Briceni, MD-5114)
(852, 759-402-7860, 48.0482483, France, La Garde, 83953 CEDEX)
(853, 294-996-1986, 33.54832, Syria, Qadsīyā, )
(854, 837-966-9896, 54.2825201, Belarus, Horki, )
(855, 577-657-4966, 50.8234101, Ukraine, Kobyzhcha, )
(856, 218-600-3803, 53.0418691, Poland, Trzcianka, 64-980)
(857, 855-902-7882, -6.1103661, Indonesia, Serang, )
(858, 896-551-3835, 41.6068468, Macedonia, Ростуша, 1257)
(859, 302-479-7959, 39.75, United States, Wilmington, 19892)
(860, 679-263-9659, 35.30385, China, Hongqi, )
(861, 415-132-7417, 37.7794055, United States, San Francisco, 94159)
(862, 983-937-8587, 37.9571555, Portugal, Sines, 7520-103)
(863, 599-356-6839, 37.44056, South Korea, Santyoku, )
(864, 970-516-0126, 34.198019, China, Zhangbagou, )
(865, 683-591-9924, 41.8136349, China, Yuanda, )
(866, 519-210-3865, 24.9104797, Pakistan, Jahāniān Shāh, 40231)
(867, 977-631-7602, -34.7383716, Argentina, Carlos Casares, 6530)
(868, 107-906-3041, 22.2016816, Mexico, Benito Juarez, 29120)
(869, 591-256-2854, 27.522725, China, Shigu, )
(870, 704-156-3274, 39.302799, China, Serikbuya, )
(871, 790-148-1066, 40.232604, China, Qincheng, )
(872, 528-261-6959, -7.1841565, Indonesia, Kawalimukti, )
(873, 396-871-3461, -8.0109832, Indonesia, Kambingan, )
(874, 178-668-9138, 21.857958, China, Yangjiapo, )
(875, 768-474-7228, 55.3238424, Russia, Voskresensk, 140209)
